vorhersagezeitpunkt;station_name;ts;value_q;dimension
09.01.2026 10:00;Wehra (Pegel);09.01.2026 21:00;2.3781;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 21:00;3.933;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 21:00;1.2513;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 21:00;29.847;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 21:00;4.609;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 21:00;1.2365;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 21:00;12.132;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 21:00;1.4103;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 22:00;7.3692;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 22:00;11.135;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 22:00;12.218;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 22:00;5.4644;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 22:00;0.50335;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 22:00;0.3079;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 22:00;28.714;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 22:00;5.1149;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 22:00;2.3547;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 22:00;3.9262;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 22:00;1.2523;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 22:00;29.78;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 22:00;4.6482;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 22:00;1.2359;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 22:00;12.287;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 22:00;1.449;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 23:00;7.4529;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 23:00;11.207;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 23:00;12.244;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 23:00;5.4136;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 23:00;0.4984;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 23:00;0.30759;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 23:00;28.952;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 23:00;5.0712;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 23:00;2.3307;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 23:00;3.9337;cbm/s
